EntryTime,ExitTime,EntryPrice,ExitPrice,Profit,Result,EMA20,EMA50,EMA200,RSI,ADX,ATR,MACD,MACD_SIGNAL,AI_SCORE
2026-06-12 13:45:00+05:30,2026-06-12 14:35:00+05:30,23492.0,23568.1,76.1,WIN,23386.15,23354.8,23300.86,82.59,42.53,23.65,27.47,10.34,82.0
2026-06-12 14:40:00+05:30,2026-06-15 09:15:00+05:30,23569.75,23945.6,375.85,WIN,23488.66,23419.1,23325.06,91.6,83.21,23.82,52.74,45.8,90.0
2026-06-15 09:20:00+05:30,2026-06-15 11:10:00+05:30,23957.6,23967.65,10.05,WIN,23636.9,23515.92,23362.22,95.07,85.04,48.7,97.16,67.57,100.0
2026-06-16 14:10:00+05:30,2026-06-16 14:40:00+05:30,23995.9,23964.85,-31.05,LOSS,23960.39,23943.43,23783.53,81.48,42.82,14.56,12.92,9.32,79.0
2026-06-17 09:45:00+05:30,2026-06-17 11:35:00+05:30,24064.05,24074.2,10.15,WIN,24007.91,23979.69,23826.59,75.25,40.35,23.1,21.27,14.09,81.0
2026-06-18 09:50:00+05:30,2026-06-18 10:35:00+05:30,24135.15,24078.75,-56.4,LOSS,24086.1,24065.59,23952.75,78.96,43.65,22.4,17.6,12.65,79.0
2026-06-18 13:05:00+05:30,2026-06-18 13:55:00+05:30,24126.3,24108.35,-17.95,LOSS,24105.79,24090.86,23998.59,78.32,41.19,15.74,12.51,9.29,78.0
2026-06-22 09:55:00+05:30,2026-06-22 11:50:00+05:30,24141.15,24134.1,-7.05,LOSS,24070.39,24023.67,24006.73,84.73,40.08,24.12,43.99,38.01,85.0
2026-06-25 09:35:00+05:30,2026-06-25 12:00:00+05:30,24145.6,24247.55,101.95,WIN,24077.15,24040.52,24012.76,68.39,40.07,30.54,26.86,15.12,83.0
2026-06-25 12:15:00+05:30,2026-06-25 12:25:00+05:30,24243.7,24202.35,-41.35,LOSS,24207.63,24156.58,24062.62,84.81,40.82,14.14,25.67,23.83,86.0
2026-07-01 10:15:00+05:30,2026-07-01 10:35:00+05:30,24004.2,23977.05,-27.15,LOSS,23947.93,23934.43,23972.19,86.12,41.12,23.99,19.54,10.37,78.0
2026-07-01 10:40:00+05:30,2026-07-01 11:30:00+05:30,23953.1,23993.45,40.35,WIN,23961.35,23943.35,23972.79,59.59,58.78,22.64,17.07,16.97,78.0
2026-07-02 09:50:00+05:30,2026-07-02 10:10:00+05:30,24136.75,24075.55,-61.2,LOSS,24078.74,24042.48,24002.39,69.89,41.54,26.94,33.05,20.99,83.0
2026-07-02 13:10:00+05:30,2026-07-02 13:55:00+05:30,24145.5,24131.75,-13.75,LOSS,24120.99,24099.58,24037.92,70.92,41.47,14.44,11.23,9.4,79.0
2026-07-02 15:10:00+05:30,2026-07-03 09:15:00+05:30,24175.8,24303.05,127.25,WIN,24159.61,24135.06,24062.66,67.66,43.92,17.54,14.4,12.67,80.0
2026-07-03 09:20:00+05:30,2026-07-03 11:05:00+05:30,24334.35,24331.6,-2.75,LOSS,24189.53,24152.2,24070.66,85.18,58.55,33.76,30.93,17.21,83.0
2026-07-06 09:50:00+05:30,2026-07-06 12:30:00+05:30,24381.75,24449.15,67.4,WIN,24328.3,24311.23,24209.98,85.75,42.86,21.22,22.15,10.46,79.0
2026-04-15 14:55:00+05:30,2026-04-15 15:10:00+05:30,24261.25,24227.85,-33.4,LOSS,24229.6,24223.3,24225.33,74.3,42.4,17.22,8.57,4.43,76.0
2026-04-16 09:15:00+05:30,2026-04-16 09:35:00+05:30,24390.55,24326.8,-63.75,LOSS,24243.89,24230.84,24227.17,79.27,47.68,29.43,14.95,6.93,78.0
2026-04-16 09:45:00+05:30,2026-04-16 10:25:00+05:30,24327.9,24300.75,-27.15,LOSS,24288.78,24255.44,24234.18,60.8,41.25,38.3,30.58,24.96,82.0
2026-04-16 13:50:00+05:30,2026-04-16 14:00:00+05:30,24183.45,24145.3,-38.15,LOSS,24154.97,24196.46,24226.63,61.53,42.06,24.22,-21.06,-30.6,75.0
2026-04-17 10:00:00+05:30,2026-04-17 10:35:00+05:30,24255.3,24252.85,-2.45,LOSS,24209.17,24202.93,24220.49,67.55,43.81,39.03,12.29,8.38,76.0
2026-04-17 14:45:00+05:30,2026-04-20 15:05:00+05:30,24348.4,24392.95,44.55,WIN,24310.24,24287.06,24249.83,73.52,43.52,14.21,14.89,11.68,80.0
2026-04-20 15:10:00+05:30,2026-04-20 15:15:00+05:30,24381.8,24325.15,-56.65,LOSS,24345.82,24312.52,24260.62,87.35,40.54,16.22,22.2,19.08,82.0
2026-04-21 10:15:00+05:30,2026-04-21 11:30:00+05:30,24506.2,24518.2,12.0,WIN,24453.13,24385.71,24290.08,84.78,40.99,30.06,46.77,42.84,89.0
2026-04-27 10:00:00+05:30,2026-04-27 10:30:00+05:30,24080.2,24023.2,-57.0,LOSS,23999.56,23959.17,24093.19,78.28,45.02,38.2,51.8,38.97,83.0
2026-04-27 13:05:00+05:30,2026-04-27 14:30:00+05:30,24090.95,24083.5,-7.45,LOSS,24059.92,24033.0,24080.67,80.84,42.94,16.08,14.41,11.34,81.0
2026-04-29 10:05:00+05:30,2026-04-29 12:30:00+05:30,24211.75,24324.7,112.95,WIN,24104.68,24069.61,24075.62,88.23,43.7,35.8,46.35,29.57,82.0
2026-05-04 09:55:00+05:30,2026-05-04 10:10:00+05:30,24246.2,24175.2,-71.0,LOSS,24145.76,24062.79,24059.0,80.96,43.36,47.15,70.8,56.84,92.0
2026-05-06 09:50:00+05:30,2026-05-06 10:50:00+05:30,24152.1,24095.8,-56.3,LOSS,24100.52,24057.46,24053.39,77.7,40.9,36.51,36.14,30.48,84.0
2026-05-06 13:30:00+05:30,2026-05-06 14:20:00+05:30,24086.35,24250.5,164.15,WIN,24060.06,24068.92,24063.42,61.65,59.51,20.88,-5.69,-13.23,75.0
2026-05-06 14:25:00+05:30,2026-05-07 09:50:00+05:30,24311.65,24335.2,23.55,WIN,24127.72,24097.96,24071.96,95.31,55.7,29.48,38.65,16.31,81.0
2026-05-14 09:20:00+05:30,2026-05-14 09:35:00+05:30,23569.45,23524.5,-44.95,LOSS,23478.3,23479.85,23610.34,61.77,58.23,35.71,-1.94,-10.33,75.0
2026-05-14 12:05:00+05:30,2026-05-14 14:45:00+05:30,23650.65,23694.7,44.05,WIN,23583.19,23534.45,23590.31,85.57,41.83,36.45,48.68,34.8,85.0
2026-05-15 10:20:00+05:30,2026-05-15 11:00:00+05:30,23820.65,23781.85,-38.8,LOSS,23775.61,23728.41,23652.67,69.02,42.35,38.52,25.85,22.83,85.0
2026-05-15 12:35:00+05:30,2026-05-15 13:35:00+05:30,23743.9,23740.1,-3.8,LOSS,23744.09,23742.61,23677.1,62.78,48.34,22.02,-8.49,-9.15,75.0
2026-05-21 09:15:00+05:30,2026-05-21 10:05:00+05:30,23766.85,23763.6,-3.25,LOSS,23664.77,23636.35,23631.45,70.22,48.03,30.43,21.61,18.17,81.0
2026-05-21 13:45:00+05:30,2026-05-21 15:10:00+05:30,23664.65,23639.2,-25.45,LOSS,23661.92,23679.49,23662.27,60.88,55.9,24.1,-12.57,-18.64,75.0
2026-05-22 10:05:00+05:30,2026-05-22 11:15:00+05:30,23785.5,23766.6,-18.9,LOSS,23726.35,23699.73,23671.44,79.32,40.94,30.71,29.85,21.81,81.0
2026-05-22 12:50:00+05:30,2026-05-22 13:40:00+05:30,23831.55,23801.25,-30.3,LOSS,23789.88,23764.29,23703.46,60.94,40.9,16.4,11.22,10.11,80.0
2026-05-25 09:15:00+05:30,2026-05-25 11:30:00+05:30,23967.6,23962.4,-5.2,LOSS,23765.2,23766.47,23722.39,78.49,77.47,35.96,4.44,-13.05,75.0
2026-05-25 15:15:00+05:30,2026-05-26 09:15:00+05:30,24025.55,24012.55,-13.0,LOSS,24003.05,23975.14,23853.82,78.7,42.53,13.94,17.17,13.08,81.0
2026-05-26 09:20:00+05:30,2026-05-26 09:55:00+05:30,24020.6,24028.75,8.15,WIN,24011.26,23983.03,23860.68,63.73,48.54,20.09,15.33,15.24,81.0
2026-06-03 14:05:00+05:30,2026-06-03 15:05:00+05:30,23383.3,23389.4,6.1,WIN,23328.53,23306.15,23414.25,70.37,41.83,33.38,33.68,27.18,80.0
2026-06-04 10:15:00+05:30,2026-06-04 10:30:00+05:30,23442.85,23388.0,-54.85,LOSS,23395.66,23369.57,23410.63,60.41,42.07,41.38,14.68,8.39,81.0
2026-06-09 11:55:00+05:30,2026-06-09 12:55:00+05:30,23181.3,23181.9,0.6,WIN,23159.45,23169.53,23252.29,64.49,40.14,22.77,-0.99,-5.9,75.0
2026-06-10 09:55:00+05:30,2026-06-10 10:10:00+05:30,23366.6,23317.0,-49.6,LOSS,23305.4,23255.15,23249.45,76.87,43.58,29.68,40.69,32.96,86.0
2026-06-12 09:40:00+05:30,2026-06-12 10:45:00+05:30,23370.1,23345.5,-24.6,LOSS,23289.01,23258.54,23260.87,69.89,40.53,45.12,43.96,20.02,82.0
